Symbol,Sector,Sub-Industry,Headquarter,Founded
MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012
MCO,Financials,Financial Exchanges & Data,"New York City, New York",1909
MS,Financials,Investment Banking & Brokerage,"New York City, New York",1935
MOS,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2004
MSI,Information Technology,Communications Equipment,"Chicago, Illinois",1928
MSCI,Financials,Financial Exchanges & Data,"New York City, New York",1969
NDAQ,Financials,Financial Exchanges & Data,"New York City, New York",1971
NTAP,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1992
NFLX,Communication Services,Movies & Entertainment,"Los Gatos, California",1997
NWL,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1903
NEM,Materials,Gold,"Denver, Colorado",1921
NWSA,Communication Services,Publishing,"New York City, New York",2013
NWS,Communication Services,Publishing,"New York City, New York",2013
NEE,Utilities,Multi-Utilities,"Juno Beach, Florida",1984
NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1964
NI,Utilities,Multi-Utilities,"Merrillville, Indiana",1912
NDSN,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",1935
NSC,Industrials,Rail Transportation,"Atlanta, Georgia",1881
NTRS,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1889
NOC,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1994
NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2011
NRG,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1992
NUE,Materials,Steel,"Charlotte, North Carolina",1940
NVDA,Information Technology,Semiconductors,"Santa Clara, California",1993
NVR,Consumer Discretionary,Homebuilding,"Reston, Virginia",1980
NXPI,Information Technology,Semiconductors,"Eindhoven, Netherlands",1953
ORLY,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",1957
OXY,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1920
ODFL,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",1934
OMC,Communication Services,Advertising,"New York City, New York",1986
